chapter,sentence,entity1,entity2,relation
002.txt,<p>子兴叹道：“正说的是这两门呢。待我告诉你：当日宁国公与荣国公是一母同胞弟兄两个。宁公居长，生了四个儿子。宁公死后，贾代化袭了官，也养了两个儿子：长名贾敷，至八九岁上便死了，只剩了次子贾敬袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上。幸而早年留下一子，名唤贾珍，因他父亲一心想作神仙，把官倒让他袭了。他父亲又不肯回原籍来，只在都中城外和道士们胡羼。这位珍爷倒生了一个儿子，今年才十六岁，名叫贾蓉。如今敬老爹一概不管。这珍爷那里肯读书，只一味高乐不了，把宁国府竟翻了过来，也没有人敢来管他。再说荣府你听，方才所说异事，就出在这里。自荣公死后，长子贾代善袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子贾赦，次子贾政。如今代善早已去世，太夫人尚在，长子贾赦袭着官；次子贾政，自幼酷喜读书，祖父最疼，原欲以科甲出身的，不料代善临终时遗本一上，皇上因恤先臣，即时令长子袭官外，问还有几子，立刻引见，遂额外赐了这政老爹一个主事之衔，令其入部习学，如今现已升了员外郎了。这政老爹的夫人王氏，头胎生的公子，名唤贾珠，十四岁进学，不到二十岁就娶了妻生了子，一病死了。第二胎生了一位小姐，生在大年初一，这就奇了，不想后来又生一位公子，说来更奇，一落胎胞，嘴里便衔下一块五彩晶莹的玉来，上面还有许多字迹，就取名叫作宝玉。你道是新奇异事不是？”</p>,贾代化,袭了,儿子
002.txt,<p>子兴叹道：“正说的是这两门呢。待我告诉你：当日宁国公与荣国公是一母同胞弟兄两个。宁公居长，生了四个儿子。宁公死后，贾代化袭了官，也养了两个儿子：长名贾敷，至八九岁上便死了，只剩了次子贾敬袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上。幸而早年留下一子，名唤贾珍，因他父亲一心想作神仙，把官倒让他袭了。他父亲又不肯回原籍来，只在都中城外和道士们胡羼。这位珍爷倒生了一个儿子，今年才十六岁，名叫贾蓉。如今敬老爹一概不管。这珍爷那里肯读书，只一味高乐不了，把宁国府竟翻了过来，也没有人敢来管他。再说荣府你听，方才所说异事，就出在这里。自荣公死后，长子贾代善袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子贾赦，次子贾政。如今代善早已去世，太夫人尚在，长子贾赦袭着官；次子贾政，自幼酷喜读书，祖父最疼，原欲以科甲出身的，不料代善临终时遗本一上，皇上因恤先臣，即时令长子袭官外，问还有几子，立刻引见，遂额外赐了这政老爹一个主事之衔，令其入部习学，如今现已升了员外郎了。这政老爹的夫人王氏，头胎生的公子，名唤贾珠，十四岁进学，不到二十岁就娶了妻生了子，一病死了。第二胎生了一位小姐，生在大年初一，这就奇了，不想后来又生一位公子，说来更奇，一落胎胞，嘴里便衔下一块五彩晶莹的玉来，上面还有许多字迹，就取名叫作宝玉。你道是新奇异事不是？”</p>,贾代化,贾敷,儿子
002.txt,<p>子兴叹道：“正说的是这两门呢。待我告诉你：当日宁国公与荣国公是一母同胞弟兄两个。宁公居长，生了四个儿子。宁公死后，贾代化袭了官，也养了两个儿子：长名贾敷，至八九岁上便死了，只剩了次子贾敬袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上。幸而早年留下一子，名唤贾珍，因他父亲一心想作神仙，把官倒让他袭了。他父亲又不肯回原籍来，只在都中城外和道士们胡羼。这位珍爷倒生了一个儿子，今年才十六岁，名叫贾蓉。如今敬老爹一概不管。这珍爷那里肯读书，只一味高乐不了，把宁国府竟翻了过来，也没有人敢来管他。再说荣府你听，方才所说异事，就出在这里。自荣公死后，长子贾代善袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子贾赦，次子贾政。如今代善早已去世，太夫人尚在，长子贾赦袭着官；次子贾政，自幼酷喜读书，祖父最疼，原欲以科甲出身的，不料代善临终时遗本一上，皇上因恤先臣，即时令长子袭官外，问还有几子，立刻引见，遂额外赐了这政老爹一个主事之衔，令其入部习学，如今现已升了员外郎了。这政老爹的夫人王氏，头胎生的公子，名唤贾珠，十四岁进学，不到二十岁就娶了妻生了子，一病死了。第二胎生了一位小姐，生在大年初一，这就奇了，不想后来又生一位公子，说来更奇，一落胎胞，嘴里便衔下一块五彩晶莹的玉来，上面还有许多字迹，就取名叫作宝玉。你道是新奇异事不是？”</p>,贾代化,贾敬,儿子
002.txt,<p>子兴叹道：“正说的是这两门呢。待我告诉你：当日宁国公与荣国公是一母同胞弟兄两个。宁公居长，生了四个儿子。宁公死后，贾代化袭了官，也养了两个儿子：长名贾敷，至八九岁上便死了，只剩了次子贾敬袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上。幸而早年留下一子，名唤贾珍，因他父亲一心想作神仙，把官倒让他袭了。他父亲又不肯回原籍来，只在都中城外和道士们胡羼。这位珍爷倒生了一个儿子，今年才十六岁，名叫贾蓉。如今敬老爹一概不管。这珍爷那里肯读书，只一味高乐不了，把宁国府竟翻了过来，也没有人敢来管他。再说荣府你听，方才所说异事，就出在这里。自荣公死后，长子贾代善袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子贾赦，次子贾政。如今代善早已去世，太夫人尚在，长子贾赦袭着官；次子贾政，自幼酷喜读书，祖父最疼，原欲以科甲出身的，不料代善临终时遗本一上，皇上因恤先臣，即时令长子袭官外，问还有几子，立刻引见，遂额外赐了这政老爹一个主事之衔，令其入部习学，如今现已升了员外郎了。这政老爹的夫人王氏，头胎生的公子，名唤贾珠，十四岁进学，不到二十岁就娶了妻生了子，一病死了。第二胎生了一位小姐，生在大年初一，这就奇了，不想后来又生一位公子，说来更奇，一落胎胞，嘴里便衔下一块五彩晶莹的玉来，上面还有许多字迹，就取名叫作宝玉。你道是新奇异事不是？”</p>,袭了,贾敷,儿子
002.txt,<p>子兴叹道：“正说的是这两门呢。待我告诉你：当日宁国公与荣国公是一母同胞弟兄两个。宁公居长，生了四个儿子。宁公死后，贾代化袭了官，也养了两个儿子：长名贾敷，至八九岁上便死了，只剩了次子贾敬袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上。幸而早年留下一子，名唤贾珍，因他父亲一心想作神仙，把官倒让他袭了。他父亲又不肯回原籍来，只在都中城外和道士们胡羼。这位珍爷倒生了一个儿子，今年才十六岁，名叫贾蓉。如今敬老爹一概不管。这珍爷那里肯读书，只一味高乐不了，把宁国府竟翻了过来，也没有人敢来管他。再说荣府你听，方才所说异事，就出在这里。自荣公死后，长子贾代善袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子贾赦，次子贾政。如今代善早已去世，太夫人尚在，长子贾赦袭着官；次子贾政，自幼酷喜读书，祖父最疼，原欲以科甲出身的，不料代善临终时遗本一上，皇上因恤先臣，即时令长子袭官外，问还有几子，立刻引见，遂额外赐了这政老爹一个主事之衔，令其入部习学，如今现已升了员外郎了。这政老爹的夫人王氏，头胎生的公子，名唤贾珠，十四岁进学，不到二十岁就娶了妻生了子，一病死了。第二胎生了一位小姐，生在大年初一，这就奇了，不想后来又生一位公子，说来更奇，一落胎胞，嘴里便衔下一块五彩晶莹的玉来，上面还有许多字迹，就取名叫作宝玉。你道是新奇异事不是？”</p>,袭了,贾敬,儿子
002.txt,<p>子兴叹道：“正说的是这两门呢。待我告诉你：当日宁国公与荣国公是一母同胞弟兄两个。宁公居长，生了四个儿子。宁公死后，贾代化袭了官，也养了两个儿子：长名贾敷，至八九岁上便死了，只剩了次子贾敬袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上。幸而早年留下一子，名唤贾珍，因他父亲一心想作神仙，把官倒让他袭了。他父亲又不肯回原籍来，只在都中城外和道士们胡羼。这位珍爷倒生了一个儿子，今年才十六岁，名叫贾蓉。如今敬老爹一概不管。这珍爷那里肯读书，只一味高乐不了，把宁国府竟翻了过来，也没有人敢来管他。再说荣府你听，方才所说异事，就出在这里。自荣公死后，长子贾代善袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子贾赦，次子贾政。如今代善早已去世，太夫人尚在，长子贾赦袭着官；次子贾政，自幼酷喜读书，祖父最疼，原欲以科甲出身的，不料代善临终时遗本一上，皇上因恤先臣，即时令长子袭官外，问还有几子，立刻引见，遂额外赐了这政老爹一个主事之衔，令其入部习学，如今现已升了员外郎了。这政老爹的夫人王氏，头胎生的公子，名唤贾珠，十四岁进学，不到二十岁就娶了妻生了子，一病死了。第二胎生了一位小姐，生在大年初一，这就奇了，不想后来又生一位公子，说来更奇，一落胎胞，嘴里便衔下一块五彩晶莹的玉来，上面还有许多字迹，就取名叫作宝玉。你道是新奇异事不是？”</p>,贾敷,贾敬,儿子
002.txt,<p>子兴叹道：“正说的是这两门呢。待我告诉你：当日宁国公与荣国公是一母同胞弟兄两个。宁公居长，生了四个儿子。宁公死后，贾代化袭了官，也养了两个儿子：长名贾敷，至八九岁上便死了，只剩了次子贾敬袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上。幸而早年留下一子，名唤贾珍，因他父亲一心想作神仙，把官倒让他袭了。他父亲又不肯回原籍来，只在都中城外和道士们胡羼。这位珍爷倒生了一个儿子，今年才十六岁，名叫贾蓉。如今敬老爹一概不管。这珍爷那里肯读书，只一味高乐不了，把宁国府竟翻了过来，也没有人敢来管他。再说荣府你听，方才所说异事，就出在这里。自荣公死后，长子贾代善袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子贾赦，次子贾政。如今代善早已去世，太夫人尚在，长子贾赦袭着官；次子贾政，自幼酷喜读书，祖父最疼，原欲以科甲出身的，不料代善临终时遗本一上，皇上因恤先臣，即时令长子袭官外，问还有几子，立刻引见，遂额外赐了这政老爹一个主事之衔，令其入部习学，如今现已升了员外郎了。这政老爹的夫人王氏，头胎生的公子，名唤贾珠，十四岁进学，不到二十岁就娶了妻生了子，一病死了。第二胎生了一位小姐，生在大年初一，这就奇了，不想后来又生一位公子，说来更奇，一落胎胞，嘴里便衔下一块五彩晶莹的玉来，上面还有许多字迹，就取名叫作宝玉。你道是新奇异事不是？”</p>,贾赦,贾政,儿子
003.txt,<p>一语未了，只听后院中有人笑声，说：“我来迟了，不曾迎接远客！”黛玉纳罕道：“这些人个个皆敛声屏气，恭肃严整如此，这来者系谁，这样放诞无礼？”心下想时，只见一群媳妇丫鬟围拥着一个人从后房门进来。这个人打扮与众姑娘不同，彩绣辉煌，恍若神妃仙子：头上戴着金丝八宝攒珠髻，绾着朝阳五凤挂珠钗；项上戴着赤金盘螭璎珞圈，裙边系着豆绿宫绦，双衡比目玫瑰佩；身上穿着缕金百蝶穿花大红洋缎窄褃袄，外罩五彩刻丝石青银鼠褂；下着翡翠撒花洋绉裙。一双丹凤三角眼，两弯柳叶吊梢眉，身量苗条，体格风骚，粉面含春威不露，丹唇未起笑先闻。黛玉连忙起身接见。贾母笑道，“你不认得他，他是我们这里有名的一个泼皮破落户儿，南省俗谓作‘辣子.. ’，你只叫他‘凤辣子’就是了。”黛玉正不知以何称呼，只见众姊妹都忙告诉他道：“这是琏嫂子。”黛玉虽不识，也曾听见母亲说过，大舅贾赦之子贾琏，娶的就是二舅母王氏之内侄女，自幼假充男儿教养的，学名王熙凤。黛玉忙陪笑见礼，以“嫂”呼之。这熙凤携着黛玉的手，上下细细打谅了一回，仍送至贾母身边坐下，因笑道：“天下真有这样标致的人物，我今儿才算见了！况且这通身的气派，竟不象老祖宗的外孙女儿，竟是个嫡亲的孙女，怨不得老祖宗天天口头心头一时不忘。只可怜我这妹妹这样命苦，怎么姑妈偏就去世了！”说着，便用帕拭泪。贾母笑道：“我才好了，你倒来招我。你妹妹远路才来，身子又弱，也才劝住了，快再休提前话。”这熙凤听了，忙转悲为喜道：“正是呢！我一见了妹妹，一心都在他身上了，又是喜欢，又是伤心，竟忘记了老祖宗。该打，该打！”又忙携黛玉之手，问：“妹妹几岁了？可也上过学？现吃什么药？在这里不要想家，想要什么吃的、什么玩的，只管告诉我；丫头老婆们不好了，也只管告诉我。”一面又问婆子们：“林姑娘的行李东西可搬进来了？带了几个人来？你们赶早打扫两间下房，让他们去歇歇。”</p>,贾赦,贾琏,母亲
003.txt,<p>一语未了，只听后院中有人笑声，说：“我来迟了，不曾迎接远客！”黛玉纳罕道：“这些人个个皆敛声屏气，恭肃严整如此，这来者系谁，这样放诞无礼？”心下想时，只见一群媳妇丫鬟围拥着一个人从后房门进来。这个人打扮与众姑娘不同，彩绣辉煌，恍若神妃仙子：头上戴着金丝八宝攒珠髻，绾着朝阳五凤挂珠钗；项上戴着赤金盘螭璎珞圈，裙边系着豆绿宫绦，双衡比目玫瑰佩；身上穿着缕金百蝶穿花大红洋缎窄褃袄，外罩五彩刻丝石青银鼠褂；下着翡翠撒花洋绉裙。一双丹凤三角眼，两弯柳叶吊梢眉，身量苗条，体格风骚，粉面含春威不露，丹唇未起笑先闻。黛玉连忙起身接见。贾母笑道，“你不认得他，他是我们这里有名的一个泼皮破落户儿，南省俗谓作‘辣子.. ’，你只叫他‘凤辣子’就是了。”黛玉正不知以何称呼，只见众姊妹都忙告诉他道：“这是琏嫂子。”黛玉虽不识，也曾听见母亲说过，大舅贾赦之子贾琏，娶的就是二舅母王氏之内侄女，自幼假充男儿教养的，学名王熙凤。黛玉忙陪笑见礼，以“嫂”呼之。这熙凤携着黛玉的手，上下细细打谅了一回，仍送至贾母身边坐下，因笑道：“天下真有这样标致的人物，我今儿才算见了！况且这通身的气派，竟不象老祖宗的外孙女儿，竟是个嫡亲的孙女，怨不得老祖宗天天口头心头一时不忘。只可怜我这妹妹这样命苦，怎么姑妈偏就去世了！”说着，便用帕拭泪。贾母笑道：“我才好了，你倒来招我。你妹妹远路才来，身子又弱，也才劝住了，快再休提前话。”这熙凤听了，忙转悲为喜道：“正是呢！我一见了妹妹，一心都在他身上了，又是喜欢，又是伤心，竟忘记了老祖宗。该打，该打！”又忙携黛玉之手，问：“妹妹几岁了？可也上过学？现吃什么药？在这里不要想家，想要什么吃的、什么玩的，只管告诉我；丫头老婆们不好了，也只管告诉我。”一面又问婆子们：“林姑娘的行李东西可搬进来了？带了几个人来？你们赶早打扫两间下房，让他们去歇歇。”</p>,贾赦,王熙凤,侄女
003.txt,<p>一语未了，只听后院中有人笑声，说：“我来迟了，不曾迎接远客！”黛玉纳罕道：“这些人个个皆敛声屏气，恭肃严整如此，这来者系谁，这样放诞无礼？”心下想时，只见一群媳妇丫鬟围拥着一个人从后房门进来。这个人打扮与众姑娘不同，彩绣辉煌，恍若神妃仙子：头上戴着金丝八宝攒珠髻，绾着朝阳五凤挂珠钗；项上戴着赤金盘螭璎珞圈，裙边系着豆绿宫绦，双衡比目玫瑰佩；身上穿着缕金百蝶穿花大红洋缎窄褃袄，外罩五彩刻丝石青银鼠褂；下着翡翠撒花洋绉裙。一双丹凤三角眼，两弯柳叶吊梢眉，身量苗条，体格风骚，粉面含春威不露，丹唇未起笑先闻。黛玉连忙起身接见。贾母笑道，“你不认得他，他是我们这里有名的一个泼皮破落户儿，南省俗谓作‘辣子.. ’，你只叫他‘凤辣子’就是了。”黛玉正不知以何称呼，只见众姊妹都忙告诉他道：“这是琏嫂子。”黛玉虽不识，也曾听见母亲说过，大舅贾赦之子贾琏，娶的就是二舅母王氏之内侄女，自幼假充男儿教养的，学名王熙凤。黛玉忙陪笑见礼，以“嫂”呼之。这熙凤携着黛玉的手，上下细细打谅了一回，仍送至贾母身边坐下，因笑道：“天下真有这样标致的人物，我今儿才算见了！况且这通身的气派，竟不象老祖宗的外孙女儿，竟是个嫡亲的孙女，怨不得老祖宗天天口头心头一时不忘。只可怜我这妹妹这样命苦，怎么姑妈偏就去世了！”说着，便用帕拭泪。贾母笑道：“我才好了，你倒来招我。你妹妹远路才来，身子又弱，也才劝住了，快再休提前话。”这熙凤听了，忙转悲为喜道：“正是呢！我一见了妹妹，一心都在他身上了，又是喜欢，又是伤心，竟忘记了老祖宗。该打，该打！”又忙携黛玉之手，问：“妹妹几岁了？可也上过学？现吃什么药？在这里不要想家，想要什么吃的、什么玩的，只管告诉我；丫头老婆们不好了，也只管告诉我。”一面又问婆子们：“林姑娘的行李东西可搬进来了？带了几个人来？你们赶早打扫两间下房，让他们去歇歇。”</p>,贾琏,王熙凤,侄女
