name,length,first_char,source
佩凤,2,佩,name_dict.txt
債鹄,2,債,name_dict.txt
傻大姐,3,傻,name_dict.txt
入画,2,入,name_dict.txt
冷子兴,3,冷,name_dict.txt
刘姥姥,3,刘,name_dict.txt
史湘云,3,史,name_dict.txt
吴贵,2,吴,name_dict.txt
周瑞家的,4,周,name_dict.txt
四儿,2,四,name_dict.txt
坠儿,2,坠,name_dict.txt
夏金桂,3,夏,name_dict.txt
妙玉,2,妙,name_dict.txt
娇杏,2,娇,name_dict.txt
孙绍祖,3,孙,name_dict.txt
宝珠,2,宝,name_dict.txt
宝蟾,2,宝,name_dict.txt
封肃,2,封,name_dict.txt
尤三姐,3,尤,name_dict.txt
尤二姐,3,尤,name_dict.txt
尤氏,2,尤,name_dict.txt
尤氏继母,4,尤,name_dict.txt
巧姐,2,巧,name_dict.txt
彩云,2,彩,name_dict.txt
彩霞,2,彩,name_dict.txt
晴雯,2,晴,name_dict.txt
智能儿,3,智,name_dict.txt
李嬷嬷,3,李,name_dict.txt
李绮,2,李,name_dict.txt
李贵,2,李,name_dict.txt
林之孝,3,林,name_dict.txt
林之孝家的,5,林,name_dict.txt
林如海,3,林,name_dict.txt
林红玉,3,林,name_dict.txt
林黛玉,3,林,name_dict.txt
柳五儿,3,柳,name_dict.txt
柳湘莲,3,柳,name_dict.txt
焦大,2,焦,name_dict.txt
玉钏儿,3,玉,name_dict.txt
王善保家的,5,王,name_dict.txt
王夫人,3,王,name_dict.txt
王子腾,3,王,name_dict.txt
王熙凤,3,王,name_dict.txt
王狗儿,3,王,name_dict.txt
瑞珠,2,瑞,name_dict.txt
甄士隐,3,甄,name_dict.txt
甄宝玉,3,甄,name_dict.txt
甄应嘉,3,甄,name_dict.txt
秋桐,2,秋,name_dict.txt
秋纹,2,秋,name_dict.txt
秦可卿,3,秦,name_dict.txt
秦邦业,3,秦,name_dict.txt
秦钟,2,秦,name_dict.txt
紫鹃,2,紫,name_dict.txt
芳官,2,芳,name_dict.txt
茜烟,2,茜,name_dict.txt
药官,2,药,name_dict.txt
芸儿,2,芸,name_dict.txt
蒋玉菡,3,蒋,name_dict.txt
薛姨妈,3,薛,name_dict.txt
薛宝琴,3,薛,name_dict.txt
薛宝钗,3,薛,name_dict.txt
薛蝌,2,薛,name_dict.txt
薛蟠,2,薛,name_dict.txt
蘅芜君,3,蘅,name_dict.txt
袭人,2,袭,name_dict.txt
贾代化,3,贾,name_dict.txt
贾代善,3,贾,name_dict.txt
贾元春,3,贾,name_dict.txt
贾兰,2,贾,name_dict.txt
贾宝玉,3,贾,name_dict.txt
贾惜春,3,贾,name_dict.txt
贾探春,3,贾,name_dict.txt
贾政,2,贾,name_dict.txt
贾敏,2,贾,name_dict.txt
贾敬,2,贾,name_dict.txt
贾母,2,贾,name_dict.txt
贾源,2,贾,name_dict.txt
贾演,2,贾,name_dict.txt
贾环,2,贾,name_dict.txt
贾珍,2,贾,name_dict.txt
贾珠,2,贾,name_dict.txt
贾琏,2,贾,name_dict.txt
贾蓉,2,贾,name_dict.txt
贾蔷,2,贾,name_dict.txt
贾赦,2,贾,name_dict.txt
贾迎春,3,贾,name_dict.txt
贾雨村,3,贾,name_dict.txt
赖大,2,赖,name_dict.txt
赖嬷嬷,3,赖,name_dict.txt
赖尚荣,3,赖,name_dict.txt
赵姨娘,3,赵,name_dict.txt
邢夫人,3,邢,name_dict.txt
邢岫烟,3,邢,name_dict.txt
邢忠,2,邢,name_dict.txt
金文翔,3,金,name_dict.txt
金文翔家的,5,金,name_dict.txt
金钏,2,金,name_dict.txt
金钏儿,3,金,name_dict.txt
雪雁,2,雪,name_dict.txt
香菱,2,香,name_dict.txt
马道婆,3,马,name_dict.txt
鸳鸯,2,鸳,name_dict.txt
黛月,2,黛,name_dict.txt
龄官,2,龄,name_dict.txt
