file,sent_index,entity,type,score
001.txt,0,甄士隐,PER,
001.txt,0,贾雨村,PER,
001.txt,2,甄士隐,PER,
001.txt,10,贾雨村,PER,
001.txt,81,甄士隐,PER,
001.txt,110,甄士隐,PER,
001.txt,141,贾雨村,PER,
001.txt,157,贾雨村,PER,
002.txt,0,冷子兴,PER,
002.txt,2,封肃,PER,
002.txt,4,封肃,PER,
002.txt,7,封肃,PER,
002.txt,9,封肃,PER,
002.txt,12,娇杏,PER,
002.txt,18,娇杏,PER,
002.txt,18,封肃,PER,
002.txt,19,娇杏,PER,
002.txt,19,封肃,PER,
002.txt,20,封肃,PER,
002.txt,21,封肃,PER,
002.txt,22,娇杏,PER,
002.txt,32,林如海,PER,
002.txt,33,林如海,PER,
002.txt,34,林如海,PER,
002.txt,48,林如海,PER,
002.txt,60,冷子兴,PER,
002.txt,61,冷子兴,PER,
002.txt,83,冷子兴,PER,
002.txt,87,冷子兴,PER,
002.txt,98,贾代化,PER,
002.txt,98,贾敬,PER,
002.txt,99,贾珍,PER,
002.txt,101,贾蓉,PER,
002.txt,105,贾代善,PER,
002.txt,105,贾政,PER,
002.txt,105,贾赦,PER,
002.txt,106,贾政,PER,
002.txt,106,贾赦,PER,
002.txt,107,贾珠,PER,
002.txt,182,贾敏,PER,
002.txt,195,贾琏,PER,
003.txt,0,林黛玉,PER,
003.txt,0,贾雨村,PER,
003.txt,3,冷子兴,PER,
003.txt,3,林如海,PER,
003.txt,3,贾政,PER,
003.txt,14,林如海,PER,
003.txt,22,贾政,PER,
003.txt,23,贾政,PER,
003.txt,26,林黛玉,PER,
003.txt,41,林黛玉,PER,
003.txt,50,冷子兴,PER,
003.txt,50,贾政,PER,
003.txt,50,贾赦,PER,
003.txt,51,贾母,PER,
003.txt,53,贾母,PER,
003.txt,64,贾母,PER,
003.txt,75,贾母,PER,
003.txt,83,贾母,PER,
003.txt,85,王熙凤,PER,
003.txt,85,贾琏,PER,
003.txt,85,贾赦,PER,
003.txt,87,贾母,PER,
003.txt,91,贾母,PER,
003.txt,108,王夫人,PER,
003.txt,111,王夫人,PER,
003.txt,112,贾母,PER,
003.txt,113,贾赦,PER,
003.txt,114,贾母,PER,
003.txt,115,王夫人,PER,
003.txt,115,邢夫人,PER,
003.txt,116,邢夫人,PER,
003.txt,117,邢夫人,PER,
003.txt,120,贾赦,PER,
003.txt,120,邢夫人,PER,
003.txt,127,邢夫人,PER,
003.txt,129,邢夫人,PER,
003.txt,131,邢夫人,PER,
003.txt,133,贾母,PER,
003.txt,135,贾源,PER,
003.txt,139,王夫人,PER,
003.txt,153,王夫人,PER,
003.txt,155,贾政,PER,
003.txt,157,王夫人,PER,
003.txt,158,王夫人,PER,
003.txt,163,王夫人,PER,
003.txt,167,王夫人,PER,
003.txt,174,王夫人,PER,
003.txt,176,王夫人,PER,
003.txt,178,王夫人,PER,
003.txt,178,贾母,PER,
003.txt,179,王夫人,PER,
003.txt,180,王夫人,PER,
003.txt,180,贾珠,PER,
003.txt,181,贾母,PER,
003.txt,182,贾母,PER,
003.txt,185,王夫人,PER,
003.txt,185,贾母,PER,
003.txt,192,林如海,PER,
003.txt,196,贾母,PER,
003.txt,197,王夫人,PER,
003.txt,198,贾母,PER,
004.txt,0,王夫人,PER,
004.txt,1,王夫人,PER,
004.txt,2,贾珠,PER,
004.txt,3,贾兰,PER,
004.txt,5,李纨,PER,
004.txt,6,李纨,PER,
004.txt,98,薛蟠,PER,
004.txt,109,薛蟠,PER,
004.txt,110,薛蟠,PER,
004.txt,123,王子腾,PER,
004.txt,123,贾政,PER,
004.txt,128,薛蟠,PER,
004.txt,131,王子腾,PER,
004.txt,131,薛蟠,PER,
004.txt,131,贾政,PER,
004.txt,132,薛蟠,PER,
004.txt,136,薛蟠,PER,
004.txt,137,薛蟠,PER,
004.txt,139,薛蟠,PER,
004.txt,143,王子腾,PER,
004.txt,144,薛蟠,PER,
004.txt,149,薛蟠,PER,
004.txt,156,薛蟠,PER,
004.txt,157,王夫人,PER,
004.txt,157,薛蟠,PER,
004.txt,157,贾雨村,PER,
004.txt,160,王夫人,PER,
004.txt,160,薛姨妈,PER,
004.txt,162,贾母,PER,
004.txt,164,薛蟠,PER,
004.txt,164,贾政,PER,
004.txt,164,贾珍,PER,
004.txt,164,贾琏,PER,
004.txt,164,贾赦,PER,
004.txt,165,王夫人,PER,
004.txt,165,贾政,PER,
004.txt,167,王夫人,PER,
004.txt,167,贾母,PER,
004.txt,168,薛姨妈,PER,
004.txt,169,王夫人,PER,
004.txt,170,王夫人,PER,
004.txt,173,薛蟠,PER,
004.txt,174,王夫人,PER,
004.txt,175,王夫人,PER,
004.txt,175,薛姨妈,PER,
004.txt,175,贾母,PER,
004.txt,177,薛蟠,PER,
004.txt,178,薛蟠,PER,
004.txt,179,贾政,PER,
004.txt,179,贾珍,PER,
005.txt,0,贾宝玉,PER,
