name,group,poem,hint
林黛玉,正册,可叹停机德，堪怜咏絮才。玉带林中挂，金簪雪里埋。,
薛宝钗,正册,可叹停机德，堪怜咏絮才。玉带林中挂，金簪雪里埋。,
史湘云,正册,富贵又何为，襁褓之间父母违。展眼吊斜晖，湘江水逝楚云飞。,
妙玉,正册,欲洁何曾洁，云空未必空。可怜金玉质，终陷淖泥中。,
王熙凤,正册,凡鸟偏从末世来，都知爱慕此生才。一从二令三人木，哭向金陵事更哀。,
贾元春,正册,二十年来辨是非，榴花开处照宫闱。三春争及初春景，虎兕相逢大梦归。,
贾探春,正册,才自精明志自高，生于末世运偏消。清明涕送江边望，千里东风一梦遥。,
贾迎春,正册,子系中山狼，得志便猖狂。金闺花柳质，一载赴黄粱。,
贾惜春,正册,勘破三春景不长，缁衣顿改昔年妆。可怜绣户侯门女，独卧青灯古佛旁。,
秦可卿,正册,情天情海幻情身，情既相逢必主淫。漫言不肖皆荣出，造衅开端实在宁。,
李纨,正册,桃李春风结子完，到头谁似一盆兰。如冰水好空相妒，枉与他人作笑谈。,
香菱,副册,根并荷花一茎香，平生遭际实堪伤。自从两地生孤木，致使香魂返故乡。,
晴雯,又副册,霁月难逢，彩云易散。心比天高，身为下贱。风流灵巧招人怨，寿夭多因毁谤生，多情公子空牵念。,
袭人,又副册,枉自温柔和顺，空云似桂如兰。堪羡优伶有福，谁知公子无缘。,
