subject,object,relation,source_file
餍肥之日,兄教育之,父,001.txt
背父,教育之恩,兄,001.txt
大师,子蠢物,弟,001.txt
心切慕之,子质虽粗,弟,001.txt
携带,子得入红,弟,001.txt
不知赐了,子那几件,弟,001.txt
又不知携,子到何地,弟,001.txt
望乞明示,子不惑,弟,001.txt
头说道,你这一段,兄,001.txt
亦无班,蔡女之德,姑,001.txt
或贬人,奸淫凶恶,妻,001.txt
坏人子,又不可胜,弟,001.txt
臣良,慈子孝,父,001.txt
处曰,有城曰阊,姑,001.txt
字士隐,封氏,妻,001.txt
世罕闻者,子愚浊,弟,001.txt
备细一闻,子则洗耳,弟,001.txt
又见奶,正抱了英,母,001.txt
士隐见,越发生得,女儿,001.txt
便抱,撤身要进,女儿,001.txt
他生于末,母祖宗根,父,001.txt
生于末世,祖宗根基,母,001.txt
是无聊之,来得正妙,兄,001.txt
便令人送,进去,女儿,001.txt
略坐,即来陪,弟,001.txt
雨村,真抱负不,兄,001.txt
想尊,旅寄僧房,兄,001.txt
特具小酌,到敝斋一,兄,001.txt
吾每谓,必非久居,兄,001.txt
便道,何不早言,兄,001.txt
但每遇,兄并未谈,兄,001.txt
但每遇兄,并未谈及,兄,001.txt
岁正当大,宜作速入,兄,001.txt
方不负,之所学也,兄,001.txt
其盘费余,自代为处,弟,001.txt
亦不枉,之谬识矣,兄,001.txt
乃黄道之,可即买舟,兄,001.txt
士隐夫妇,一夜不归,女儿,001.txt
音响皆无,二人,妻,001.txt
只得与,商议,妻子,001.txt
便携了,与两个丫,妻子,001.txt
今见,这等狼狈,女婿,001.txt
只有姣,忘不了,妻,001.txt
痴心,母古来多,父,001.txt
痴心父,古来多,母,001.txt
只得与,商议,父亲,001.txt
着他,母度日,父,001.txt
他父,度日,母,001.txt
帮着,用度,父亲,001.txt
第二回,仙逝扬州,夫人,002.txt
他既是你,便带了你,女婿,002.txt
曾与,旧日相交,女婿,002.txt
所以他只,移住于此,女婿,002.txt
又问外孙,我说看灯,女儿,002.txt
便在,前一力撺,女儿,002.txt
以待寻访,下落,女儿,002.txt
雨村嫡,忽染疾下,妻,002.txt
正室,正是,夫人,002.txt
本贯,苏人氏,姑,002.txt
至如海之,又袭了一,父,002.txt
今只有嫡,贾氏,妻,002.txt
年方五岁,无子,妻,002.txt
生之,贾氏夫人,母,002.txt
贾氏,一疾而终,夫人,002.txt
笑问道,何日到此,兄,002.txt
兄何日到,竟不知,弟,002.txt
雨村笑道,族中无人,弟,002.txt
是一,同胞弟兄,母,002.txt
同胞,兄两个,弟,002.txt
胞弟,两个,兄,002.txt
生了四个,宁公死后,儿子,002.txt
也养了两,长名贾敷,儿子,002.txt
因他,一心想作,父亲,002.txt
让他袭了,又不肯回,父亲,002.txt
